Favorite,Id,Coin,Buy,Price,1h,24h,7d,30d,Volume in 24h,MarketCapitalization,FDV,FDVCapitalization,VariationGraph
,4564.0,Alpha  ALPHA,,"R$ 0,002414",0.0%,4.1%,11.8%,60.6%,R$ 823.190,R$ 1.915.587,R$ 1.915.587,10.0,
,4566.0,AlienXChain  AIX,,"R$ 0,01534",19.7%,19.0%,35.8%,40.5%,R$ 285.562,R$ 1.915.769,R$ 14.713.110,13.0,
,4567.0,Apexrom  APR,,"R$ 0,004195",-,0.2%,52.6%,54.7%,"R$ 112,28",R$ 1.906.821,R$ 4.068.755,47.0,
,4565.0,THAT  THAT,,"R$ 0,006591",2.0%,1.7%,0.4%,3.5%,"R$ 28.340,14",R$ 1.917.991,R$ 21.793.943,9.0,
,4568.0,FATGF  FATGF,,"R$ 0,001941",1.2%,22.7%,10.7%,39.6%,R$ 146.361,R$ 1.915.479,R$ 1.915.479,10.0,
,4569.0,Saad Boi  SAAD,,"R$ 0,00224",4.5%,17.5%,24.4%,34.5%,"R$ 27.733,66",R$ 1.911.253,R$ 2.227.890,86.0,
,4577.0,AIRian  AIR,,"R$ 0,01743",0.6%,1.4%,9.8%,83.3%,R$ 128.457,R$ 1.913.110,R$ 17.431.527,11.0,
,4570.0,Tomo Cat  TOMO,,"R$ 0,002015",13.9%,3.1%,53.8%,61.2%,R$ 158.226,R$ 1.912.446,R$ 1.912.446,10.0,
,4571.0,The Cocktailbar  COC,,"R$ 38,06",-,12.3%,8.3%,12.1%,"R$ 763,05",R$ 1.902.862,R$ 1.902.862,10.0,
,4572.0,Roost  ROOST,,"R$ 0,001908",0.1%,5.1%,17.0%,45.6%,R$ 165.183,R$ 1.908.843,R$ 1.908.843,10.0,
,4573.0,Gyoza  GYOZA,,"R$ 0,001967",-,-,-,-,"R$ 540,00",R$ 1.941.548,R$ 1.967.399,99.0,
,4575.0,Trumpius Maximus  TRUMPIUS,,"R$ 0,04059",0.9%,4.7%,8.4%,20.1%,R$ 182.082,R$ 1.906.731,R$ 1.906.731,10.0,
,4574.0,Wild Goat Coin  WGC,,"R$ 0,0003813",0.0%,23.3%,29.1%,20.6%,"R$ 15.894,17",R$ 1.907.024,R$ 1.907.024,10.0,
,4576.0,The SWARM  SWARM,,"R$ 0,00369",3.1%,11.8%,22.4%,-,"R$ 10.888,58",R$ 1.897.435,R$ 3.690.318,51.0,
,4578.0,Palmeiras Fan Token  VERDAO,,"R$ 1,33",0.2%,4.7%,4.6%,13.7%,"R$ 2.664,10",R$ 1.906.150,R$ 26.697.364,7.0,
,4579.0,Terrace  TRC,,"R$ 0,009994",0.0%,3.1%,3.5%,-,R$ 263.415,R$ 1.903.608,R$ 9.994.180,19.0,
,4581.0,$SATX  SATX,,"R$ 0,00111",1.1%,4.3%,3.8%,52.8%,R$ 837.756,R$ 1.900.089,R$ 9.202.279,21.0,
,4582.0,X  X,,"R$ 0,0005798",-,-,-,-,"R$ 2.108,45",R$ 1.890.667,R$ 5.797.862,33.0,
,4580.0,SmartCredit  SMARTCREDIT,,"R$ 0,9205",0.4%,9.4%,21.2%,30.3%,"R$ 45,91",R$ 1.899.960,R$ 23.012.010,8.0,
,4583.0,Signata  SATA,,"R$ 0,09644",0.2%,2.8%,3.0%,4.9%,"R$ 62,92",R$ 1.897.273,R$ 9.628.764,2.0,
,4584.0,InsurAce  INSUR,,"R$ 0,02698",1.4%,11.5%,33.3%,7.9%,R$ 416.975,R$ 1.898.243,R$ 2.699.107,7.0,
